rate	auc_roc
10	0.7448474868423997
10	0.7505273736814435
10	0.7447547649110149
10	0.7402546838120966
10	0.7603335804752955
10	0.7410184695795161
10	0.7325512671006856
10	0.7366892485206439
10	0.7404977743240825
10	0.7438213705437543
20	0.7520359708659128
20	0.7324458594807433
20	0.7440016321157309
20	0.7530464511532826
20	0.7473891269421792
20	0.7436644738497936
20	0.7326396684172848
20	0.7556787944505968
20	0.7444704590198775
20	0.7567618757480675
30	0.7419913052870902
30	0.7501583491336398
30	0.7464860904868172
30	0.7471775688781502
30	0.7374963033574952
30	0.7472741797124064
30	0.7446347822074566
30	0.754436315326577
30	0.7571101326806269
30	0.7508308356963881
40	0.7350049375957806
40	0.7463037262855577
40	0.7418149868004519
40	0.7401448874123293
40	0.7397678158942694
40	0.7443148225052294
40	0.7552564963030078
40	0.732497184259539
40	0.7353056485396602
40	0.7380967849172791
50	0.7341774856818462
50	0.7256336377339284
50	0.7330439517685158
50	0.7302228017998367
50	0.7409826706992405
50	0.7298695076456704
50	0.7345718326677629
50	0.7354761887283688
50	0.7377456737921854
50	0.7338710838311129
60	0.7476841627095987
60	0.7457699817946911
60	0.7311130214800272
60	0.7379739113169346
60	0.7378057341829144
60	0.7393091473287695
60	0.7388550335861382
60	0.7373791923246865
60	0.7444885804333478
60	0.7356750261474098
70	0.7443695188317281
70	0.7535123556998556
70	0.7535827404722754
70	0.7548499635054867
70	0.7304715657404611
70	0.7400091463499893
70	0.7465486869665648
70	0.7411778516756714
70	0.7449796501140978
70	0.7529985171482264
80	0.7529720568783068
80	0.7555416219224359
80	0.7484599018283612
80	0.7519862768045907
80	0.7416869641179235
80	0.7522151278146918
80	0.7528868470837947
80	0.7578511757944897
80	0.7520823108577469
80	0.747599849547524
90	0.7422627524553397
90	0.7574435208955558
90	0.7354787755042115
90	0.7475473345022764
90	0.7516091790692081
90	0.751363078808573
90	0.7399063761927134
90	0.7494536240030426
90	0.7412325217848474
90	0.749857552546506
100	0.7414046664737072
100	0.7414046664737072
100	0.7414046664737072
100	0.7414046664737072
100	0.7414046664737072
100	0.7414046664737072
100	0.7414046664737072
100	0.7414046664737072
100	0.7414046664737072
100	0.7414046664737072
